tg*1/[(tg+tx)^3],tl*1/(tg-tx),tx*1/tg,(tg+tl)*1/[(tl-tx)^4],(tg-tl)*1/(tg-tx),(tg-tx)*1/(tg-tl),(tl+tx)*1/[tl^2],(tl-tx)*[(tl+tx)^3],(tl-tx)*1/(tg-tl),(tl-tx)*1/[(tg-tx)^2],[tg^3]*1/[(tg+tx)^3],[tg^4]*1/[(tg-tl)^4],[tl^2]*1/[(tl+tx)^4],[tl^3]*1/[(tg+tl)^3],[tl^3]*1/[(tg+tx)^3],[tl^4]*[(tg-tx)^2],[tx^3]*[(tl+tx)^4],[tx^4]*1/[(tg-tx)^3],[(tg+tl)^4]*1/[(tg-tl)^4],[(tg-tl)^2]*1/[(tg-tx)^2],[(tg-tl)^2]*1/[(tl-tx)^3],[(tg-tl)^3]*[(tl-tx)^2],[(tg-tl)^3]*1/[tg^2],[(tg-tl)^4]*1/[(tg-tx)^4],[(tg-tl)^4]*1/[(tl+tx)^3],[(tg-tl)^4]*1/[(tl-tx)^2],[(tg+tx)^2]*1/[(tg-tx)^2],[(tg+tx)^2]*1/[(tl-tx)^4],[(tg+tx)^3]*1/[(tg+tl)^2],[(tg+tx)^3]*1/[(tg-tl)^4],[(tg-tx)^2]*1/(tl+tx),[(tg-tx)^2]*1/[tx^3],[(tg-tx)^2]*1/[(tl-tx)^2],[(tg-tx)^3]*1/tx,[(tg-tx)^3]*1/[tg^4],[(tg-tx)^3]*1/[tl^2],[(tg-tx)^4]*1/[(tg-tl)^4],[(tg-tx)^4]*1/[(tl-tx)^4],[(tl+tx)^2]*1/[tx^4],[(tl+tx)^3]*1/[tx^2],[(tl+tx)^4]*1/[tg^3],[(tl+tx)^4]*1/[(tg+tx)^2],[(tl+tx)^4]*1/[(tg-tx)^3],[(tl-tx)^4]*1/[(tg-tx)^2],[(tl-tx)^4]*1/[(tg-tx)^4],1/tl*1/[tg^4],1/(tg-tx)*1/[(tg+tl)^3],1/[tg^3]*1/[(tg-tl)^3],1/[tx^2]*1/[(tg-tx)^3],1/[tx^4]*1/[(tg+tx)^4],composition,dmax
1.1527104164999149e-07,1.5961199294532626,0.6076124567474048,0.0044219395944234,0.9523809523809524,1.05,0.0021769787247031,153044523549.0,0.05,8.398421096833795e-05,0.2406888167412234,51.27389965001995,8.103857313749477e-08,0.0571139439237933,0.0591286697045555,2.1565544830448064e+17,6.840516903614094e+21,3260.0847252294075,358.6711207123651,0.9070294784580498,14.814814814814811,114791256000.0,75.41289017133415,0.822702474791882,15.001027588321053,116640000.0,16.78542345150223,10.154145050908756,2269.9270741512,0.1474254934578815,180.3079080201907,0.0004749879258813,441.0,207613.05580865603,4.180977094842768e-05,222.5625139647752,1.21550625,194481.0,5.349640803654298e-06,7353.007309789799,3349.668517130619,1872867.067578904,55444.20951972689,1.6530612244897958,5.141890467449262e-06,2.534428434557968e-16,1.3589809042968106e-13,2.1048210540709742e-18,7.116423604274814e-15,5.778632784462036e-26,Cu2 Nb32.75 Ni60.25 Zr5,3.0
1.826427626464388e-07,1.9773869346733668,0.6420863309352518,6.687033890584984e-05,0.8165829145728644,1.2246153846153849,0.0024234341725207,246868078573.0,0.2246153846153846,0.0004608469483093,0.225845812293878,137.052103346387,1.2201878487276786e-07,0.0711785772481244,0.080061159854048,6.076661904453504e+16,1.847640206251974e+21,4122.338314892053,1165.6452949878,0.6668076563723138,0.2715176971700465,182934578125.0,27.76134533021065,0.4446324505967378,3.2990687590423646,2093571.1437417904,21.049190677003104,0.1174113565695847,1688.3107669261915,0.5457187499933476,105.53231179213856,0.0004351825862437,29.72490148245449,88298.02801120449,4.1231588534131625e-05,101.7887430594686,2.2490486213003744,883.5697681416253,8.668990706718711e-06,6633.544596269881,3691.5470433103887,1522373.524567552,80514.39849307456,179.27729729047246,0.0011317725391434,8.310097488321853e-16,3.6689520311770723e-13,2.118534570798708e-17,3.111389345692521e-14,3.46101961084278e-25,Al15 Cu19 Ni10 Y2 Zr54,5.0
4.7545786479253334e-07,1.7023411371237458,0.5875862068965517,2.6001762683513394e-05,0.7224080267558528,1.384259259259259,0.0036089099548017,67844231125.0,0.3842592592592592,0.0009284012483081,0.2499125401815753,126.92203352434775,3.389917439291922e-07,0.0701791118835189,0.0864823288631337,6000860154717961.0,5.908472803113358e+19,1232.040066291822,1065.2355071003296,0.521873357121285,0.0815968183956613,69425247744.0,19.172786682520808,0.2723518008730403,2.6630552206438614,315979.43620264187,14.818637375420856,0.0279150414950415,1001.3724792415856,0.7005045593129988,95.61604278074869,0.0011564146352543,12.977355203948322,62748.589201877934,9.67523536472774e-05,103.17583690042882,3.671721636480608,168.41174808944464,2.654512809130942e-05,4504.178927241067,2005.5450588380008,576893.6999783363,28591.232589109703,530.8477645663919,0.0059378280395788,7.110992021747502e-15,1.7798497117563014e-12,2.6039025495761853e-16,2.0614235672782965e-13,1.7300565898973808e-23,Ag3.3 Cu29.7 Mg56 Y11,14.0
1.6748895302871446e-07,1.4444444444444444,0.5717741935483871,0.0001773517173513,0.8907721280602636,1.1226215644820297,0.002508970930954,186503534208.0,0.1226215644820296,0.0002057022070428,0.2575310141769513,47.232635343187454,1.2394964805167032e-07,0.0558141061984833,0.0609467531967203,9.758217592696867e+16,1.691547257997685e+21,1687.7238105100228,324.14917977078085,0.7934749841290107,1.1466696051498626,355991320388.0,68.82402250260147,0.6296025504385339,15.56630338350698,14879508.15725327,13.472079471983712,0.335669362671979,1837.979962259645,0.1479077581234971,191.03048780487805,0.0007911345234272,83.81718192627824,211172.48377997175,6.332815311928478e-05,254.5029585798817,1.5883036040808207,7025.319986062824,8.621598102007688e-06,6396.856407940622,2489.3179713336244,1249458.257862829,31700.190107070342,40.1349690205383,0.0001423422708124,5.514649254041707e-16,2.329503468667512e-13,4.95623080060889e-18,1.3286909177173952e-14,2.742633035114274e-25,Al7 B0.5 Cu15 Ni18.5 Sc3 Si3 Ti53,2.0
4.4095302854207654e-07,1.290858725761773,0.5412960609911055,0.000489453125,0.889196675900277,1.1246105919003115,0.0041076461161561,28389291520.0,0.1246105919003115,0.0003069344157887,0.2731126363350774,36.13090167116973,3.430144501094947e-07,0.051440423699728,0.0566989932320136,6145511993475856.0,4.894273274987986e+19,700.0302231772426,232.1582676119052,0.7906707284321023,1.610015625,52921857600.0,53.40299724396926,0.6251602007993512,14.959792390056798,6635904.800625,11.290344610615326,0.574753515625,1136.7900419679122,0.1680978942042596,146.09977578475335,0.0016857206483258,81.450625,110436.34037558686,0.0001226373270571,216.64554974304187,1.59958999104768,6634.204312890625,2.4159687491942712e-05,3910.8878749807136,1298.7788879686614,430266.7793707765,13456.676491954737,19.64380261047721,0.0001507339769528,5.593905866837696e-15,1.408119734612384e-12,6.202413349650192e-17,1.1712758694674213e-13,1.4025501537282356e-23,Cu18 Mg65 Ni6 Y11,5.0
1.6620487603146857e-07,1.7045951859956237,0.6169321039396479,0.0005768104080933,0.9059080962800876,1.103864734299517,0.0024965353362742,149522432625.0,0.1038647342995169,0.000205890380131,0.2365509236069116,68.95415014617808,1.1519254779778701e-07,0.0616441177298892,0.0658590846135439,7.690989719383757e+16,2.100312777038377e+21,3074.416180555229,514.7854672091619,0.8206694789058123,2.155734715182311,131201238456.0,49.85631045586542,0.6734983936075376,8.448185980601785,15887825.21146566,17.8168964179862,1.088405262546723,1845.7924351159645,0.2443404213456721,137.85412541254126,0.0005238403611266,112.95240670632776,129679.3383152174,4.711799757975719e-05,157.280066772021,1.4847845362237375,12758.246180751674,7.821931499935803e-06,6419.220143770676,3102.624376758258,1415748.388858118,55195.27877071321,16.369726453083327,7.838067911784748e-05,6.337248943167669e-16,2.8534027017204416e-13,8.299991461965192e-18,1.9341750247564507e-14,2.4612732523791585e-25,Cu55 Ga5 Zr40,2.0
1.208576633462089e-07,1.5335570469798658,0.5861111111111111,9.804248229904206e-05,0.8825503355704698,1.1330798479087452,0.0021043912108748,380324805840.0,0.1330798479087452,0.0001970631953515,0.2506104507146988,56.17033212211558,8.74614974058095e-08,0.0585354837324457,0.064084099857844,2.4790044274867226e+17,5.742524051433663e+21,2396.795647091294,401.1278884714234,0.7788950948155489,0.8066355685131196,713104722400.0,70.18305169753087,0.6066775687277228,14.089200983052027,15622369.178775512,14.685870005855593,0.2172701374427322,2150.1827912358726,0.1556486370522881,202.05688282138797,0.0005908335924545,72.4930612244898,250839.7345971564,4.923668564719555e-05,253.42321007043367,1.6483220272955246,5255.243925697626,6.090710466423401e-06,7627.315637564296,3198.806771267361,1830978.6648949056,45116.635329096665,67.59267600558533,0.0001902861245146,2.544508089292974e-16,1.2862765873587061e-13,2.301204906077456e-18,6.630958769471941e-15,7.241788138492626e-26,B19.01743265 Fe69.41362916 Nb3.96196513 Si4.75435816 Tb2.8526149,2.5
5.175339042478509e-07,1.1941176470588235,0.5348837209302325,0.0224592592592592,0.9558823529411764,1.0461538461538462,0.0048351088354485,7593923595.0,0.0461538461538461,0.0001297577854671,0.2765499346077859,25.59387614235356,4.0852513442565073e-07,0.0455299010720242,0.0473804880548332,3140956837177600.0,2.411923659876856e+19,594.6621250000001,149.79882775967786,0.91371107266436,31.296296296296298,7723828125.0,64.24144913270243,0.8348679243094552,22.03730486374481,49585069.44444445,10.89,24.86684444444445,1092.591056870949,0.1266033293960295,145.04391468005016,0.0019338712718587,513.7777777777778,100521.73913043478,0.0001376471562088,238.44305855517,1.197794250901579,263967.60493827163,2.7177506808160896e-05,3311.474761415742,1032.9544114020111,320514.41886702826,10265.888298417463,0.4379325259515571,3.7883436500999753e-06,8.625900785044781e-15,2.0009659061821934e-12,7.457577687072336e-17,1.6642161571922085e-13,2.699737523026997e-23,Ca33.33333333 Cu33.33333333 Mg33.33333333,3.0
1.7763037695263664e-07,1.951219512195122,0.6378091872791519,5.219497709256471e-05,0.8097560975609757,1.2349397590361446,0.002378125,275003714544.0,0.2349397590361445,0.0004640095181439,0.2276198281561554,135.155390790163,1.1926729355648326e-07,0.070998405402439,0.0803416545934186,6.885376e+16,2.0196225095518336e+21,3942.731658797754,1146.7695521929652,0.6557049375371803,0.2322695932163388,222640134912.0,28.557579692591997,0.4299489651106374,3.445945285864051,1996931.3241288627,20.44804283164783,0.0928626448653758,1707.32006867019,0.5245378775357434,110.4467805519054,0.0004466384634182,27.62984878369494,95458.4487534626,4.197259905850777e-05,107.6890625,2.3258574415748927,763.4085438098485,8.524727682317672e-06,6763.469908917213,3699.2980980148095,1561130.2895212427,77858.68055100768,220.19664485425344,0.0013099146035351,7.612447414160373e-16,3.382164891503385e-13,1.8838506456140013e-17,2.7833898212147456e-14,3.114671797644665e-25,Al16.3 Cu20.7 Ni12 Zr51,3.0
1.118438955913224e-07,1.5412698412698411,0.5811170212765957,2.7956851925635768e-05,0.846031746031746,1.1819887429643527,0.0019568516854909,609201334125.0,0.1819887429643527,0.0002443940539178,0.2529926813299007,63.39901476738102,8.136787569479173e-08,0.060385418416385,0.0680804062916786,3.528239181434289e+17,7.736059117493656e+21,2333.587459061697,464.93471754160805,0.7157697152935248,0.3112713973131669,1424705482733.0,66.94003800149954,0.5123262853313736,12.850491083676268,8577591.659156127,14.247629125724364,0.0638758604624836,2195.255855851444,0.1666198406320746,215.1219512195122,0.0005944930762781,42.18301626102668,286094.9656750572,4.886864567467292e-05,265.20590428290666,1.951881112938014,1779.406860878041,5.833739207627898e-06,8221.787469432213,3405.9790570694386,2049093.5270511296,46340.832725947526,223.0518543713782,0.0005619850198321,2.0127480987095706e-16,1.0469690434319895e-13,1.941220478442195e-18,5.2354677216582624e-15,5.359285190564328e-26,B22 Fe68 W4 Y6,4.0
