features,scores
tl*1/tx,0.0016996075246203208
[tl^2]*1/[tl^3],0.0016889213940908749
(tl+tx)*1/[(tg-tl)^2],0.0016871865220852652
tl*1/(tg+tx),0.001679409165708831
tg*1/[tx^2],0.0016770007847586909
[(tg+tx)^3]*1/[(tl+tx)^2],0.001669924210696791
1/(tg-tx)*1/[tg^2],0.0016625698930028616
[tg^4]*1/[tx^3],0.0016428433473866103
1/[(tg+tl)^2]*1/[(tg-tx)^3],0.0016342559347120617
(tg-tl)*1/[(tg-tx)^3],0.0016232256929174852
[tx^2]*1/[(tl-tx)^4],0.0015934187015334473
tg*[(tg+tl)^2],0.0015754868929698594
1/[(tg+tl)^2]*1/[(tg+tx)^2],0.0015662796525939594
[tx^4]*[(tg-tl)^4],0.0015610370330269559
[tx^2]*[(tg-tx)^3],0.0015493714802632657
[tx^2]*[(tg-tl)^2],0.0015392841797136263
1/tl*1/[(tg+tl)^2],0.0015256660970154276
[tg^3]*1/[tl^4],0.0015191619145517028
(tg-tl)*1/(tl-tx),0.0014767927497523771
[(tg-tl)^2]*[(tl-tx)^2],0.0014706306002103028
1/(tl-tx)*1/[(tg-tx)^4],0.0014703117246947228
[tl^4]*1/tx,0.0014694620226839267
[(tg+tx)^4]*1/[(tl+tx)^2],0.0014685548918898746
[(tg-tx)^2]*1/[(tl-tx)^4],0.0014675327107115416
1/[tl^3]*1/[tx^4],0.0014661529452088561
(tl-tx)*[tl^4],0.0014584432544160885
[tl^4]*1/[(tg+tx)^4],0.0014482187251133923
(tg+tx)*[tx^2],0.0014411904668807033
[tl^4]*1/[tg^3],0.0014364626032290285
[tx^4]*1/(tg-tx),0.0014261995977644516
[(tg+tl)^3]*1/[tx^4],0.0014253405907549339
[tg^2]*1/[(tg-tx)^2],0.0014177993272605968
(tg+tl)*1/tg,0.0014170948437245998
[(tg+tx)^2]*[(tl-tx)^3],0.0014143975395063684
[(tg+tl)^4]*[(tg-tx)^3],0.001400194789632237
[tg^2]*1/[tx^2],0.001392239219612813
[(tg-tl)^2]*1/[tg^3],0.0013805223021742302
[tl^2]*[(tg-tx)^2],0.0013790434595974683
[(tg+tl)^3]*1/[tg^2],0.001370352443735966
[(tg-tx)^3]*1/[(tl-tx)^2],0.0013681459259350147
1/[(tg-tl)^3]*1/[(tg-tl)^4],0.001362534111934771
(tg+tx)*1/tl,0.0013601621465095593
1/[tg^4]*1/[(tl+tx)^4],0.0013362222319118853
[(tg+tx)^3]*1/[tx^4],0.0013356248134132618
[(tl+tx)^3]*1/[(tg-tl)^3],0.0013294228633582742
1/[(tg-tl)^3]*1/[(tg+tx)^4],0.0013249084828820417
1/(tg-tl)*1/[(tl-tx)^3],0.0013134419236340573
[(tl+tx)^2]*1/[(tg+tx)^4],0.0012976919259522514
[(tg-tx)^4]*1/[(tl-tx)^2],0.0012894695083027574
[(tg+tl)^2]*1/[tl^3],0.0012790236698025804
[tg^2]*1/[(tl+tx)^4],0.0012783870432071748
[(tg-tl)^4]*1/[(tg+tx)^2],0.0012772021832764913
(tg-tx)*1/[(tl-tx)^4],0.0012660178452250088
[tg^4]*[(tl+tx)^2],0.0012656378852853344
[(tg+tx)^3]*1/[(tg-tx)^2],0.001258442414065228
[tx^2]*1/[(tg+tl)^4],0.0012523898599131047
[(tg-tl)^3]*1/[tx^4],0.001251020643567334
(tl+tx)*[(tg+tl)^4],0.0012458536923674378
[(tg+tl)^4]*1/[tg^2],0.0012438019549541452
1/(tl-tx)*1/[(tg-tl)^2],0.0012423072459572552
[(tg-tl)^3]*1/[(tl-tx)^4],0.0012403204778228614
[(tg+tl)^3]*[(tl-tx)^2],0.0012358864063429168
(tg-tx)*[(tg-tx)^3],0.0012056188542640945
[(tg+tl)^4]*1/[tl^4],0.0011946909180929922
[(tg+tx)^2]*1/[tx^4],0.0011893371709412964
[(tg-tl)^4]*1/[(tg+tx)^4],0.0011596584712648707
[tx^3]*1/tl,0.0011300631265192226
1/(tg+tx)*1/[(tg+tl)^2],0.001125630879347756
1/[(tg+tx)^3]*1/[(tl-tx)^2],0.0011224535407962873
[(tg+tx)^2]*1/[(tg+tl)^2],0.0011205383205558843
1/[tl^3]*1/[(tl-tx)^2],0.001114292582551584
[tg^4]*1/[tg^4],0.0011089095362987482
1/[(tg+tl)^3]*1/[(tl+tx)^4],0.0011049197856602864
[(tg+tx)^3]*1/[tl^3],0.001100924437633904
1/(tg+tx)*1/[(tg+tl)^4],0.001098358360786517
1/[(tl+tx)^3]*1/[(tl-tx)^3],0.0010949458773552327
[(tl+tx)^2]*1/(tg+tx),0.0010910855313506656
1/[tx^3]*1/[tx^4],0.0010899753708811125
[(tg-tx)^4]*1/tl,0.0010849844365245342
