metric,value,fold
$R^{2}$,0.5818337564504958,0
$R^{2}$,0.5193409039950967,1
$R^{2}$,0.354082653157452,2
$R^{2}$,0.43376580750600924,3
$R^{2}$,0.6356354278818708,4
