metric,value,fold
$RMSE/\sigma$,0.6466577483874327,0
$RMSE/\sigma$,0.6932958214246667,1
$RMSE/\sigma$,0.80368983248673,2
$RMSE/\sigma$,0.7524853437070989,3
$RMSE/\sigma$,0.603626185745888,4
